GARB25                        	GARBANZO 25KG	GRA   	GRANOS	GRAS  	GRANOS SACOS	GEN   	GENERAL	V	NULL	NULL	0
GAR5                          	GARBANZO BOLSA 5 KG	GRA   	GRANOS	BOL5  	BOLSA 5 KILOS	GEN   	GENERAL	V			0
GARB50K                       	GARBANZO SACO 50KG	GRA   	GRANOS	GRAS  	GRANOS SACOS	GEN   	GENERAL	V			0
011                           	GARBANZOS 500gr  UNIDAD	GRA   	GRANOS	GRAUNI	GRANOS UNIDAD	GEN   	GENERAL	V			0
GASTLOGADM                    	GASTOS LOGISTICOS Y ADMINISTRATIVO	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S	NULL	NULL	0
GASTOPERCONTEN                	GASTOS OPERATIVOS POR CONTENEDOR	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S	NULL	NULL	0
GIRASSACO                     	GIRASOL SACO 22.5KG	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V			0
GONAVI                        	GONAVI	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S			0
HAMBURGSUD                    	HAMBURGSUD	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S			0
HAPAGLOYD                     	HAPAG LOYD	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S	NULL	NULL	0
HART                          	HARINA DE TRIGO PANADERA SACO 50 KG	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V	NULL	NULL	0
IMPRESIONDEBL                 	IMPRESION DE BL MSC	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S	NULL	NULL	0
IMPUESTO                      	IMPUESTOS	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S	NULL	NULL	0
ITF                           	ITF	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S			0
LAURELKG                      	LAUREL HOJA 1KG	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
7692418000170                 	LAUREL HOJA 5X12X15GR	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
7692418000171                 	LAVAPLATOS MA+FACIL 24X400 GR	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V	NULL	NULL	0
02-002                        	LECHE CONDENSADA 24x397	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V			0
012                           	LENTEJAS 500gr  UNIDAD	GRA   	GRANOS	GRAUNI	GRANOS UNIDAD	GEN   	GENERAL	V			0
7592640001743                 	LENTEJAS MISS DAYMAR 24x500 gr	GRA   	GRANOS	GRAB  	GRANOS BULTOS	GEN   	GENERAL	V			0
LEN01                         	LENTEJAS SACO 45.36kg	GRA   	GRANOS	GRAS  	GRANOS SACOS	GEN   	GENERAL	V			0
LVDRA                         	LEVADURA SAF-INSTANT  20x454G	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V			0
